1,64,0.32605
1,132,0.28105
1,318,0.72978
1,395,0.34574
1,565,0.33796
1,1049,0.42309
1,1113,0.3016
1,1829,0.30765
1,1834,0.44693
1,2361,0.3457
1,2583,0.28948
1,2595,0.94036
1,2690,0.30907
1,2787,0.46846
1,2834,0.52346
1,2859,0.28334
1,2940,0.89151
1,2996,0.75863
1,3002,0.39216
1,3072,0.35826
1,3186,0.35954
1,3249,0.30181
1,3361,0.27075
1,3491,0.28517
1,3620,0.44328
1,3760,0.48902
1,3801,0.48168
1,3947,0.29323
1,4081,0.29107
1,4131,0.37253
1,4171,0.34819
1,4191,0.37098
1,4434,0.26561
1,4530,0.3198
1,4841,0.2672
1,4851,0.32965
1,4867,0.30694
1,5039,0.61595
1,5073,0.35544
1,5156,0.29641
1,5302,0.29351
1,5334,0.26038
1,5342,0.2922
1,5414,0.43622
1,5451,0.52287
1,5521,0.31977
1,5707,0.25977
1,6165,0.28574
1,6325,0.32348
1,6468,0.27113
1,6700,0.25279
1,6742,0.32939
1,6777,0.28764
1,6897,0.35955
1,7009,0.26048
1,7279,0.28159
1,7413,0.32909
1,7482,0.32611
1,7544,0.25108
1,7554,0.27688
1,7565,0.26041
1,7779,0.26071
1,7968,0.43812
1,7988,0.26865
1,8095,0.26941
1,8341,0.25543
1,8389,0.30492
1,8480,0.4635
1,8536,0.26397
1,8588,0.68706
1,8711,0.37105
1,8743,0.45862
1,8783,0.65
1,8893,0.4721
1,8993,0.9843
1,9264,0.44551
1,9539,0.35621
1,9853,0.29452
1,9977,0.99676
1,10124,0.99857
1,10238,0.80628
1,10266,0.99702
1,10501,0.27743
1,10717,0.60552
1,10769,0.26808
1,10840,0.28927
1,10861,0.34965
1,11177,0.31322
1,11232,0.26538
1,11288,0.32041
1,11396,0.54421
1,11476,0.32995
1,11591,0.2849
1,11678,0.29145
1,11725,0.76093
1,11819,0.27542
1,11972,0.28152
1,12057,0.32573
1,12589,0.47073
1,12801,0.28617
1,12923,0.70189
1,13286,0.66611
1,13387,0.53647
1,13389,0.40575
1,13493,0.3515
1,13646,0.27078
1,13843,0.32512
1,13858,0.26112
1,14058,0.44012
1,14122,0.27378
1,14477,0.28835
1,14558,0.28976
1,14852,0.25815
1,14992,0.28668
1,15196,0.41371
1,15268,0.25295
1,15310,0.28608
1,16070,0.44387
1,16136,0.62459
1,16189,0.31899
1,16641,0.27643
1,16702,0.51111
1,16821,0.28406
1,17170,0.25607
1,17213,0.2867
1,17220,0.26911
1,17223,0.37357
