-0.13622,1.7365,0.43244,0.64668
0.72272,1.9534,1.5693,0.97262
-0.68153,1.5509,1.2574,1.1376
-0.065825,-1.1794,-0.06648,-0.591
-0.24932,1.4072,0.29365,0.65371
0.1956,1.3516,0.1139,1.2643
-0.62499,1.5699,2.2314,1.3323
-0.62788,-1.1715,-0.47585,-1.0013
-0.60801,-0.91971,-0.13778,-0.26903
0.091693,0.47702,0.71238,0.30474
0.84164,2.3696,0.82112,0.94872
-1.1996,-0.569,-0.42466,-0.093625
-0.34173,1.2852,0.32515,0.48042
0.29046,-0.21305,-0.034214,0.036011
0.19046,1.7643,-0.47945,1.1548
-0.69086,1.5709,1.1704,0.81421
0.15745,2.343,1.094,0.76245
-0.9429,1.8947,1.2939,1.0023
-0.2014,-0.50553,-0.2001,-0.27684
1.0205,0.57982,0.58406,0.25824
0.24014,1.5353,0.99615,0.85222
-0.32345,1.1122,0.20467,0.53707
-1.9426,1.6479,0.69379,0.78281
-0.029099,1.0713,0.25842,0.4211
-0.7642,-1.8222,-0.56663,-0.66026
-0.17494,2.133,2.0439,1.3332
-0.33096,-0.45161,-0.5731,0.35168
-0.54894,1.6581,0.99042,0.57439
0.48667,-0.89069,-0.11594,0.0050602
-0.4251,-0.53093,-0.056336,0.552
-0.38566,0.7075,0.053925,0.44911
-0.10751,1.3221,1.1274,0.73311
1.0698,1.3079,0.70216,1.2185
-0.39167,1.1618,0.58134,0.48897
-0.38214,0.71646,-0.29458,-0.22192
0.0064778,2.0101,1.3593,1.1377
-0.89151,1.3684,1.8073,0.70793
0.0063275,1.9245,1.0527,0.55265
0.65822,1.3874,0.60348,1.134
-0.36423,1.5575,0.72585,0.091329
-0.59854,-0.59829,0.10408,0.484
-0.62306,-1.4289,-0.42621,-0.38726
-0.4823,1.9804,0.23647,0.44769
-0.075785,2.1914,1.1567,0.49951
-0.1005,1.3694,1.0027,0.64087
-0.33834,1.5609,0.21351,0.56097
-0.43972,1.969,1.2314,0.5647
-0.040101,1.2582,0.62032,0.17772
-0.98331,1.2635,-0.11507,0.36676
-0.21463,1.6621,0.71317,0.85298
-2.0415,2.0548,-0.94683,0.91466
-0.19519,1.6805,0.77177,1.0037
0.38712,-0.61618,-0.014231,-0.044447
-0.36933,1.7156,1.0216,0.52944
-0.70347,1.5014,0.53257,0.94503
-0.23504,2.0971,1.4,1.2518
0.38282,-0.23329,0.083244,0.11804
0.60321,0.20386,0.71023,0.26662
-0.037126,1.4803,0.50455,0.60624
-1.6731,1.7032,1.6303,1.106
-0.40738,0.49139,0.75713,0.678
-0.47297,1.2222,-0.47231,0.46778
-0.0527,-1.0156,-0.218,-0.10513
0.0081365,-0.81673,-0.14312,-0.50103
-0.31035,1.5884,1.494,0.62925
0.28577,-0.773,0.1016,-0.30012
-0.64634,-0.71586,0.24964,0.6928
-1.5205,2.1636,1.664,0.68979
-1.328,1.7497,0.72438,0.64598
0.085972,1.894,0.5877,0.6943
-0.28185,1.6387,-0.34862,1.1528
-0.91489,1.0368,1.5855,0.93011
-1.3097,2.1679,0.45388,1.6025
0.062777,1.7058,1.212,0.49425
0.44886,0.19405,0.5422,0.54307
-0.45116,2.0501,2.3081,0.94784
0.11169,0.9911,0.94541,1.0399
-0.60968,2.2089,2.3122,0.93359
